"node_from","node_to","iteration","edge_type","value"
"V1","V1","iter1","present",82
"V2","V1","iter1","present",83
"V3","V1","iter1","present",105
"V4","V1","iter1","present",106
"V5","V1","iter1","present",126
"V6","V1","iter1","present",106
"V7","V1","iter1","present",141
"V8","V1","iter1","present",142
"V9","V1","iter1","present",67
"V10","V1","iter1","present",73
"V11","V1","iter1","present",90
"V12","V1","iter1","present",98
"V13","V1","iter1","present",62
"T","V1","iter1","present",0
"V1","V2","iter1","present",77
"V2","V2","iter1","present",92
"V3","V2","iter1","present",82
"V4","V2","iter1","present",69
"V5","V2","iter1","present",92
"V6","V2","iter1","present",67
"V7","V2","iter1","present",114
"V8","V2","iter1","present",129
"V9","V2","iter1","present",56
"V10","V2","iter1","present",51
"V11","V2","iter1","present",58
"V12","V2","iter1","present",71
"V13","V2","iter1","present",50
"T","V2","iter1","present",0
"V1","V3","iter1","present",113
"V2","V3","iter1","present",81
"V3","V3","iter1","present",110
"V4","V3","iter1","present",98
"V5","V3","iter1","present",92
"V6","V3","iter1","present",90
"V7","V3","iter1","present",108
"V8","V3","iter1","present",132
"V9","V3","iter1","present",72
"V10","V3","iter1","present",92
"V11","V3","iter1","present",92
"V12","V3","iter1","present",94
"V13","V3","iter1","present",66
"T","V3","iter1","present",0
"V1","V4","iter1","present",74
"V2","V4","iter1","present",70
"V3","V4","iter1","present",110
"V4","V4","iter1","present",87
"V5","V4","iter1","present",80
"V6","V4","iter1","present",86
"V7","V4","iter1","present",89
"V8","V4","iter1","present",125
"V9","V4","iter1","present",48
"V10","V4","iter1","present",56
"V11","V4","iter1","present",79
"V12","V4","iter1","present",84
"V13","V4","iter1","present",48
"T","V4","iter1","present",0
"V1","V5","iter1","present",109
"V2","V5","iter1","present",85
"V3","V5","iter1","present",99
"V4","V5","iter1","present",97
"V5","V5","iter1","present",73
"V6","V5","iter1","present",99
"V7","V5","iter1","present",99
"V8","V5","iter1","present",128
"V9","V5","iter1","present",40
"V10","V5","iter1","present",85
"V11","V5","iter1","present",76
"V12","V5","iter1","present",87
"V13","V5","iter1","present",49
"T","V5","iter1","present",0
"V1","V6","iter1","present",98
"V2","V6","iter1","present",101
"V3","V6","iter1","present",94
"V4","V6","iter1","present",92
"V5","V6","iter1","present",92
"V6","V6","iter1","present",81
"V7","V6","iter1","present",110
"V8","V6","iter1","present",149
"V9","V6","iter1","present",55
"V10","V6","iter1","present",73
"V11","V6","iter1","present",102
"V12","V6","iter1","present",83
"V13","V6","iter1","present",46
"T","V6","iter1","present",0
"V1","V7","iter1","present",130
"V2","V7","iter1","present",90
"V3","V7","iter1","present",101
"V4","V7","iter1","present",97
"V5","V7","iter1","present",116
"V6","V7","iter1","present",106
"V7","V7","iter1","present",125
"V8","V7","iter1","present",115
"V9","V7","iter1","present",53
"V10","V7","iter1","present",76
"V11","V7","iter1","present",71
"V12","V7","iter1","present",101
"V13","V7","iter1","present",62
"T","V7","iter1","present",0
"V1","V8","iter1","present",130
"V2","V8","iter1","present",103
"V3","V8","iter1","present",124
"V4","V8","iter1","present",123
"V5","V8","iter1","present",128
"V6","V8","iter1","present",121
"V7","V8","iter1","present",113
"V8","V8","iter1","present",118
"V9","V8","iter1","present",56
"V10","V8","iter1","present",79
"V11","V8","iter1","present",90
"V12","V8","iter1","present",103
"V13","V8","iter1","present",59
"T","V8","iter1","present",0
"V1","V9","iter1","present",80
"V2","V9","iter1","present",45
"V3","V9","iter1","present",95
"V4","V9","iter1","present",78
"V5","V9","iter1","present",77
"V6","V9","iter1","present",79
"V7","V9","iter1","present",71
"V8","V9","iter1","present",95
"V9","V9","iter1","present",46
"V10","V9","iter1","present",78
"V11","V9","iter1","present",97
"V12","V9","iter1","present",96
"V13","V9","iter1","present",52
"T","V9","iter1","present",0
"V1","V10","iter1","present",100
"V2","V10","iter1","present",97
"V3","V10","iter1","present",80
"V4","V10","iter1","present",86
"V5","V10","iter1","present",102
"V6","V10","iter1","present",75
"V7","V10","iter1","present",94
"V8","V10","iter1","present",110
"V9","V10","iter1","present",56
"V10","V10","iter1","present",76
"V11","V10","iter1","present",79
"V12","V10","iter1","present",111
"V13","V10","iter1","present",48
"T","V10","iter1","present",0
"V1","V11","iter1","present",114
"V2","V11","iter1","present",76
