selected_features,iteration,metric,relevant,value
2,iter1,silhouette,3 relevant,0.0592361101154028
3,iter1,silhouette,3 relevant,0.117162676650669
4,iter1,silhouette,3 relevant,0.11553654130608
5,iter1,silhouette,3 relevant,0.112615589042858
6,iter1,silhouette,3 relevant,0.10900411197788
7,iter1,silhouette,3 relevant,0.113946485395209
8,iter1,silhouette,3 relevant,0.112636076524331
9,iter1,silhouette,3 relevant,0.109909192853763
10,iter1,silhouette,3 relevant,0.107020164259464
11,iter1,silhouette,3 relevant,0.10595368848785
12,iter1,silhouette,3 relevant,0.103570814473186
2,iter2,silhouette,3 relevant,0.063358442706262
3,iter2,silhouette,3 relevant,0.122750551197061
4,iter2,silhouette,3 relevant,0.119786473266655
5,iter2,silhouette,3 relevant,0.117040050157492
6,iter2,silhouette,3 relevant,0.112716424065495
7,iter2,silhouette,3 relevant,0.117669753616247
8,iter2,silhouette,3 relevant,0.11548916182987
9,iter2,silhouette,3 relevant,0.113452669000884
10,iter2,silhouette,3 relevant,0.111650966498866
11,iter2,silhouette,3 relevant,0.109909962793869
12,iter2,silhouette,3 relevant,0.106708238477824
2,iter3,silhouette,3 relevant,0.0636188335780491
3,iter3,silhouette,3 relevant,0.12045015330861
4,iter3,silhouette,3 relevant,0.117912734072485
5,iter3,silhouette,3 relevant,0.114180957401382
6,iter3,silhouette,3 relevant,0.111603150328605
7,iter3,silhouette,3 relevant,0.115436447706114
8,iter3,silhouette,3 relevant,0.113949790267541
9,iter3,silhouette,3 relevant,0.110458291817428
10,iter3,silhouette,3 relevant,0.109408623947819
11,iter3,silhouette,3 relevant,0.106773204081543
12,iter3,silhouette,3 relevant,0.104001061471323
2,iter4,silhouette,3 relevant,0.0627359818698645
3,iter4,silhouette,3 relevant,0.124615889599734
4,iter4,silhouette,3 relevant,0.120732098103789
5,iter4,silhouette,3 relevant,0.116405823665022
6,iter4,silhouette,3 relevant,0.111743579563374
7,iter4,silhouette,3 relevant,0.117096803669796
8,iter4,silhouette,3 relevant,0.116345064544889
9,iter4,silhouette,3 relevant,0.11404795105136
10,iter4,silhouette,3 relevant,0.111420535606494
11,iter4,silhouette,3 relevant,0.108931080089955
12,iter4,silhouette,3 relevant,0.106474904951948
2,iter5,silhouette,3 relevant,0.0634301675288091
3,iter5,silhouette,3 relevant,0.123987606667577
4,iter5,silhouette,3 relevant,0.12067471628279
5,iter5,silhouette,3 relevant,0.116894389185392
6,iter5,silhouette,3 relevant,0.11324873705664
7,iter5,silhouette,3 relevant,0.117013797558754
8,iter5,silhouette,3 relevant,0.115487187804819
9,iter5,silhouette,3 relevant,0.1132299931912
10,iter5,silhouette,3 relevant,0.111376012141054
11,iter5,silhouette,3 relevant,0.107176410560318
12,iter5,silhouette,3 relevant,0.106677447782793
2,iter6,silhouette,3 relevant,0.0563789518717119
3,iter6,silhouette,3 relevant,0.116039196122807
4,iter6,silhouette,3 relevant,0.114210865104463
5,iter6,silhouette,3 relevant,0.110048917900591
6,iter6,silhouette,3 relevant,0.10608805603306
7,iter6,silhouette,3 relevant,0.109741354996922
8,iter6,silhouette,3 relevant,0.10706470132919
9,iter6,silhouette,3 relevant,0.106177872759498
10,iter6,silhouette,3 relevant,0.10279793547268
11,iter6,silhouette,3 relevant,0.100826164006833
12,iter6,silhouette,3 relevant,0.0989767050015426
2,iter7,silhouette,3 relevant,0.0573756317371802
3,iter7,silhouette,3 relevant,0.119118527695655
4,iter7,silhouette,3 relevant,0.118698890408124
5,iter7,silhouette,3 relevant,0.113868572233767
6,iter7,silhouette,3 relevant,0.109849991337958
7,iter7,silhouette,3 relevant,0.115148694605175
8,iter7,silhouette,3 relevant,0.1124377450425
9,iter7,silhouette,3 relevant,0.110173750246397
10,iter7,silhouette,3 relevant,0.108109595036702
11,iter7,silhouette,3 relevant,0.105217148552524
12,iter7,silhouette,3 relevant,0.101665014035016
2,iter8,silhouette,3 relevant,0.0608654265911004
3,iter8,silhouette,3 relevant,0.121661960241266
4,iter8,silhouette,3 relevant,0.119247939775934
5,iter8,silhouette,3 relevant,0.114829317262009
6,iter8,silhouette,3 relevant,0.112985106419863
7,iter8,silhouette,3 relevant,0.115771982225791
8,iter8,silhouette,3 relevant,0.114500253341594
9,iter8,silhouette,3 relevant,0.113288236102015
10,iter8,silhouette,3 relevant,0.108495739554681
11,iter8,silhouette,3 relevant,0.107188942784059
12,iter8,silhouette,3 relevant,0.103214829415647
2,iter9,silhouette,3 relevant,0.0609437514131465
3,iter9,silhouette,3 relevant,0.124157714828102
4,iter9,silhouette,3 relevant,0.122213072216042
5,iter9,silhouette,3 relevant,0.11805583308613
6,iter9,silhouette,3 relevant,0.114111037588255
7,iter9,silhouette,3 relevant,0.119254521269699
8,iter9,silhouette,3 relevant,0.116860475282255
9,iter9,silhouette,3 relevant,0.113684285998928
10,iter9,silhouette,3 relevant,0.111013666599554
11,iter9,silhouette,3 relevant,0.107964959107593
12,iter9,silhouette,3 relevant,0.107363164202046
2,iter10,silhouette,3 relevant,0.06214345039474
3,iter10,silhouette,3 relevant,0.119496684114111
4,iter10,silhouette,3 relevant,0.116772415884817
5,iter10,silhouette,3 relevant,0.114026666984007
6,iter10,silhouette,3 relevant,0.110043144614891
7,iter10,silhouette,3 relevant,0.114323128224819
8,iter10,silhouette,3 relevant,0.112359710993854
9,iter10,silhouette,3 relevant,0.110281901785473
10,iter10,silhouette,3 relevant,0.106026802010507
11,iter10,silhouette,3 relevant,0.104276957237383
12,iter10,silhouette,3 relevant,0.103106130649554
2,iter11,silhouette,3 relevant,0.0643520764119856
3,iter11,silhouette,3 relevant,0.121477494106381
4,iter11,silhouette,3 relevant,0.120202749770025
5,iter11,silhouette,3 relevant,0.117431995203566
6,iter11,silhouette,3 relevant,0.112667075641779
7,iter11,silhouette,3 relevant,0.116624615431293
8,iter11,silhouette,3 relevant,0.114962273143708
9,iter11,silhouette,3 relevant,0.112993682161419
10,iter11,silhouette,3 relevant,0.110391293074014
11,iter11,silhouette,3 relevant,0.107093811296318
12,iter11,silhouette,3 relevant,0.105217323589226
2,iter12,silhouette,3 relevant,0.0611519454223009
3,iter12,silhouette,3 relevant,0.122187010217042
4,iter12,silhouette,3 relevant,0.119675249023116
5,iter12,silhouette,3 relevant,0.11589617650626
6,iter12,silhouette,3 relevant,0.111752882782356
7,iter12,silhouette,3 relevant,0.117165908907773
8,iter12,silhouette,3 relevant,0.113873621014437
9,iter12,silhouette,3 relevant,0.111595075712479
10,iter12,silhouette,3 relevant,0.109330135189639
11,iter12,silhouette,3 relevant,0.106664082983163
12,iter12,silhouette,3 relevant,0.106048350733325
2,iter13,silhouette,3 relevant,0.0589119223590131
3,iter13,silhouette,3 relevant,0.121235675495973
4,iter13,silhouette,3 relevant,0.119049595596728
5,iter13,silhouette,3 relevant,0.115991180136001
6,iter13,silhouette,3 relevant,0.111810598324938
7,iter13,silhouette,3 relevant,0.116752870980649
8,iter13,silhouette,3 relevant,0.113811830299349
9,iter13,silhouette,3 relevant,0.112007366890862
10,iter13,silhouette,3 relevant,0.108655865950129
