selected_features,iteration,metric,relevant,value
2,iter1,silhouette,3 relevant,0.0592501102775837
3,iter1,silhouette,3 relevant,0.118481297668412
4,iter1,silhouette,3 relevant,0.11581551259965
5,iter1,silhouette,3 relevant,0.113867869600418
6,iter1,silhouette,3 relevant,0.110269257070503
7,iter1,silhouette,3 relevant,0.112695093551185
8,iter1,silhouette,3 relevant,0.111513207639022
9,iter1,silhouette,3 relevant,0.110024174951578
10,iter1,silhouette,3 relevant,0.108093888113889
11,iter1,silhouette,3 relevant,0.105534910840837
12,iter1,silhouette,3 relevant,0.103555954367127
2,iter2,silhouette,3 relevant,0.0637620540398097
3,iter2,silhouette,3 relevant,0.12203354993212
4,iter2,silhouette,3 relevant,0.119931664938852
5,iter2,silhouette,3 relevant,0.117430059042072
6,iter2,silhouette,3 relevant,0.112472123611087
7,iter2,silhouette,3 relevant,0.117342003258824
8,iter2,silhouette,3 relevant,0.116370702258954
9,iter2,silhouette,3 relevant,0.113908944788772
10,iter2,silhouette,3 relevant,0.110239129195207
11,iter2,silhouette,3 relevant,0.108597642046486
12,iter2,silhouette,3 relevant,0.105695454791603
2,iter3,silhouette,3 relevant,0.0636974420894077
3,iter3,silhouette,3 relevant,0.119570027051822
4,iter3,silhouette,3 relevant,0.117157595157149
5,iter3,silhouette,3 relevant,0.115153657661423
6,iter3,silhouette,3 relevant,0.111360370382171
7,iter3,silhouette,3 relevant,0.115367718079783
8,iter3,silhouette,3 relevant,0.112959201692998
9,iter3,silhouette,3 relevant,0.111744703375737
10,iter3,silhouette,3 relevant,0.108743153732344
11,iter3,silhouette,3 relevant,0.105741212036924
12,iter3,silhouette,3 relevant,0.103628825579427
2,iter4,silhouette,3 relevant,0.063751556564912
3,iter4,silhouette,3 relevant,0.124004027647553
4,iter4,silhouette,3 relevant,0.121423567832205
5,iter4,silhouette,3 relevant,0.117166531376708
6,iter4,silhouette,3 relevant,0.111905185745872
7,iter4,silhouette,3 relevant,0.11672850271189
8,iter4,silhouette,3 relevant,0.113793266081572
9,iter4,silhouette,3 relevant,0.113340986844544
10,iter4,silhouette,3 relevant,0.110282440363238
11,iter4,silhouette,3 relevant,0.108022714935992
12,iter4,silhouette,3 relevant,0.105678749267134
2,iter5,silhouette,3 relevant,0.0627948632426327
3,iter5,silhouette,3 relevant,0.123061730394459
4,iter5,silhouette,3 relevant,0.120735841716585
5,iter5,silhouette,3 relevant,0.116584316089473
6,iter5,silhouette,3 relevant,0.112237719327274
7,iter5,silhouette,3 relevant,0.118074272736537
8,iter5,silhouette,3 relevant,0.116188340494349
9,iter5,silhouette,3 relevant,0.113575312059485
10,iter5,silhouette,3 relevant,0.110771213477908
11,iter5,silhouette,3 relevant,0.108172231889266
12,iter5,silhouette,3 relevant,0.106724046130407
2,iter6,silhouette,3 relevant,0.056123946716651
3,iter6,silhouette,3 relevant,0.116245347101092
4,iter6,silhouette,3 relevant,0.11384562313771
5,iter6,silhouette,3 relevant,0.111056403902701
6,iter6,silhouette,3 relevant,0.1065346303356
7,iter6,silhouette,3 relevant,0.109217888306731
8,iter6,silhouette,3 relevant,0.107439328813765
9,iter6,silhouette,3 relevant,0.104999541154497
10,iter6,silhouette,3 relevant,0.102858555192228
11,iter6,silhouette,3 relevant,0.0997342266016025
12,iter6,silhouette,3 relevant,0.0987913762876095
2,iter7,silhouette,3 relevant,0.0579445094255953
3,iter7,silhouette,3 relevant,0.120222957121378
4,iter7,silhouette,3 relevant,0.118067975655614
5,iter7,silhouette,3 relevant,0.115397980474937
6,iter7,silhouette,3 relevant,0.111129404313458
7,iter7,silhouette,3 relevant,0.114449017561642
8,iter7,silhouette,3 relevant,0.112220270901406
9,iter7,silhouette,3 relevant,0.10987941935187
10,iter7,silhouette,3 relevant,0.107884122421494
11,iter7,silhouette,3 relevant,0.104081670345412
12,iter7,silhouette,3 relevant,0.100917072207088
2,iter8,silhouette,3 relevant,0.0611112078751632
3,iter8,silhouette,3 relevant,0.121737334589431
4,iter8,silhouette,3 relevant,0.119574747303993
5,iter8,silhouette,3 relevant,0.115896578331802
6,iter8,silhouette,3 relevant,0.112516438958109
7,iter8,silhouette,3 relevant,0.116385945918337
8,iter8,silhouette,3 relevant,0.113597826920958
9,iter8,silhouette,3 relevant,0.112235110499577
10,iter8,silhouette,3 relevant,0.108280152500379
11,iter8,silhouette,3 relevant,0.106120889595734
12,iter8,silhouette,3 relevant,0.102710764592643
2,iter9,silhouette,3 relevant,0.0610042771508623
3,iter9,silhouette,3 relevant,0.124023234192961
4,iter9,silhouette,3 relevant,0.121558330747533
5,iter9,silhouette,3 relevant,0.117833642314789
6,iter9,silhouette,3 relevant,0.114822681200326
7,iter9,silhouette,3 relevant,0.119409952906572
8,iter9,silhouette,3 relevant,0.116575902290812
9,iter9,silhouette,3 relevant,0.113626115625802
10,iter9,silhouette,3 relevant,0.11225300408023
