"relevant","edge_type","selected_features","value"
2,"present","3 relevant",1.49360212181963
3,"present","3 relevant",1.46205488086916
4,"present","3 relevant",1.10913377935921
5,"present","3 relevant",0.935574235590729
6,"present","3 relevant",0.833899244189156
7,"present","3 relevant",0.765952037198599
8,"present","3 relevant",0.716626530043592
9,"present","3 relevant",0.679132831588296
10,"present","3 relevant",0.649956659510348
11,"present","3 relevant",0.626279684450499
12,"present","3 relevant",0.606502237407903
2,"fixation","3 relevant",2.22115443196701
3,"fixation","3 relevant",2.16701136711524
4,"fixation","3 relevant",1.50176019626937
5,"fixation","3 relevant",1.1874530135716
6,"fixation","3 relevant",1.00431203308285
7,"fixation","3 relevant",0.883582129812605
8,"fixation","3 relevant",0.799635568775115
9,"fixation","3 relevant",0.736947813714599
10,"fixation","3 relevant",0.688781554126388
11,"fixation","3 relevant",0.650203288896338
12,"fixation","3 relevant",0.618595515865817
2,"level","3 relevant",1.42888532590643
3,"level","3 relevant",1.39911096696371
4,"level","3 relevant",1.07299499430062
5,"level","3 relevant",0.912104406264148
6,"level","3 relevant",0.817990749520688
7,"level","3 relevant",0.754858888840693
8,"level","3 relevant",0.708837459443437
9,"level","3 relevant",0.673726238125639
10,"level","3 relevant",0.646196239002712
11,"level","3 relevant",0.624016551684651
12,"level","3 relevant",0.605407682966764
2,"sample","3 relevant",2.53499876436257
3,"sample","3 relevant",2.49441743883872
4,"sample","3 relevant",1.69196372381477
5,"sample","3 relevant",1.30953814256043
6,"sample","3 relevant",1.08642630960124
7,"sample","3 relevant",0.93990580598643
8,"sample","3 relevant",0.839846265095339
9,"sample","3 relevant",0.766297825253269
10,"sample","3 relevant",0.71010003745514
11,"sample","3 relevant",0.664198381038599
12,"sample","3 relevant",0.627260267625816
2,"present","4 relevant",1.25596478085948
3,"present","4 relevant",1.23417474495815
4,"present","4 relevant",1.22407756424132
5,"present","4 relevant",1.00562580586737
6,"present","4 relevant",0.878962135351336
7,"present","4 relevant",0.794661671249529
8,"present","4 relevant",0.735304731714714
9,"present","4 relevant",0.690919517343603
10,"present","4 relevant",0.657159874062133
11,"present","4 relevant",0.629877897164952
12,"present","4 relevant",0.607785945942562
2,"fixation","4 relevant",1.78851845380967
3,"fixation","4 relevant",1.74877596580422
4,"fixation","4 relevant",1.71898759196538
5,"fixation","4 relevant",1.30801500478544
6,"fixation","4 relevant",1.07672467798127
7,"fixation","4 relevant",0.930259474306923
8,"fixation","4 relevant",0.828271009686034
9,"fixation","4 relevant",0.754354504865737
10,"fixation","4 relevant",0.697614898811357
11,"fixation","4 relevant",0.653644659849606
12,"fixation","4 relevant",0.618543329429843
2,"level","4 relevant",1.21178537723674
3,"level","4 relevant",1.19045867642724
4,"level","4 relevant",1.18025198886284
5,"level","4 relevant",0.97773636749063
6,"level","4 relevant",0.859978283103167
7,"level","4 relevant",0.781312749217144
8,"level","4 relevant",0.726099201193554
9,"level","4 relevant",0.684603694567015
10,"level","4 relevant",0.653133761880599
11,"level","4 relevant",0.627510741302845
12,"level","4 relevant",0.606764363473613
2,"sample","4 relevant",2.20251283141008
3,"sample","4 relevant",2.17548395931732
4,"sample","4 relevant",2.17388178442202
5,"sample","4 relevant",1.58162390908447
6,"sample","4 relevant",1.25595501968195
7,"sample","4 relevant",1.05058695572422
8,"sample","4 relevant",0.912285667410322
9,"sample","4 relevant",0.812968032283089
10,"sample","4 relevant",0.737311375616367
11,"sample","4 relevant",0.679073342507002
12,"sample","4 relevant",0.632910563002563
2,"present","5 relevant",1.09075422724481
3,"present","5 relevant",1.07957412216172
4,"present","5 relevant",1.07323260869923
5,"present","5 relevant",1.05621529418181
6,"present","5 relevant",0.906589531034003
7,"present","5 relevant",0.812049303214734
8,"present","5 relevant",0.74754980013562
9,"present","5 relevant",0.70058948284236
10,"present","5 relevant",0.663854986488312
11,"present","5 relevant",0.634169644268173
12,"present","5 relevant",0.60980982656716
2,"fixation","5 relevant",1.47865307552568
3,"fixation","5 relevant",1.44379588178812
4,"fixation","5 relevant",1.42737355613683
5,"fixation","5 relevant",1.40250064724301
6,"fixation","5 relevant",1.13330296065733
7,"fixation","5 relevant",0.964872946963033
8,"fixation","5 relevant",0.85218804095212
9,"fixation","5 relevant",0.770610528407191
10,"fixation","5 relevant",0.709765581739131
11,"fixation","5 relevant",0.660497979458084
12,"fixation","5 relevant",0.621752869364892
2,"level","5 relevant",1.05678549761327
3,"level","5 relevant",1.04512658054452
4,"level","5 relevant",1.03943471717581
5,"level","5 relevant",1.02319231345004
6,"level","5 relevant",0.88442018159849
7,"level","5 relevant",0.796802755937452
8,"level","5 relevant",0.737008341359555
9,"level","5 relevant",0.693269138975193
10,"level","5 relevant",0.659007711739402
11,"level","5 relevant",0.631274662259154
12,"level","5 relevant",0.608562717979972
2,"sample","5 relevant",1.95936860522898
3,"sample","5 relevant",1.93435924424532
4,"sample","5 relevant",1.91851134675754
5,"sample","5 relevant",1.88900267062235
6,"sample","5 relevant",1.44616924627247
7,"sample","5 relevant",1.1730606958117
8,"sample","5 relevant",0.992906040879947
9,"sample","5 relevant",0.865595044467889
10,"sample","5 relevant",0.772054452500595
11,"sample","5 relevant",0.699880840949461
12,"sample","5 relevant",0.6431096944223
2,"present","6 relevant",0.965905929467145
3,"present","6 relevant",0.957231314257316
4,"present","6 relevant",0.951764504456156
5,"present","6 relevant",0.947117096804613
6,"present","6 relevant",0.942810157427149
7,"present","6 relevant",0.836503886388502
8,"present","6 relevant",0.762385449081731
9,"present","6 relevant",0.709603711056038
10,"present","6 relevant",0.669839153463967
11,"present","6 relevant",0.637421085642624
12,"present","6 relevant",0.611669658587777
2,"fixation","6 relevant",1.23809014795418
3,"fixation","6 relevant",1.21478892965181
4,"fixation","6 relevant",1.20530956755641
5,"fixation","6 relevant",1.1942426567497
6,"fixation","6 relevant",1.17814995006217
7,"fixation","6 relevant",0.992894994851432
8,"fixation","6 relevant",0.868296754686946
9,"fixation","6 relevant",0.780821898164919
10,"fixation","6 relevant",0.715666102451158
11,"fixation","6 relevant",0.664288303286334
12,"fixation","6 relevant",0.623838869339329
2,"level","6 relevant",0.940573942748127
3,"level","6 relevant",0.931553595848885
4,"level","6 relevant",0.926045553346481
5,"level","6 relevant",0.921642693920444
6,"level","6 relevant",0.917526604062244
7,"level","6 relevant",0.819289872956367
8,"level","6 relevant",0.750452635582213
9,"level","6 relevant",0.70139056908735
10,"level","6 relevant",0.664354194986998
11,"level","6 relevant",0.634151009473357
12,"level","6 relevant",0.61019802375812
2,"sample","6 relevant",1.6933437298422
3,"sample","6 relevant",1.65515724049064
4,"sample","6 relevant",1.64601236848941
5,"sample","6 relevant",1.64028493544187
6,"sample","6 relevant",1.62830240428755
7,"sample","6 relevant",1.28958077889503
8,"sample","6 relevant",1.06787133721055
9,"sample","6 relevant",0.914332727121058
10,"sample","6 relevant",0.801670543047544
11,"sample","6 relevant",0.716806754080316
12,"sample","6 relevant",0.651208686818882
2,"present","7 relevant",0.88042163591564
3,"present","7 relevant",0.868587961561606
4,"present","7 relevant",0.864659457091432
5,"present","7 relevant",0.862273090979331
6,"present","7 relevant",0.858649173754577
7,"present","7 relevant",0.854771303604594
8,"present","7 relevant",0.775182225155822
9,"present","7 relevant",0.717323901097985
10,"present","7 relevant",0.674275847670205
11,"present","7 relevant",0.640004060804481
12,"present","7 relevant",0.612610919899676
2,"fixation","7 relevant",1.05620813601585
3,"fixation","7 relevant",1.04239578318352
4,"fixation","7 relevant",1.03619594867587
5,"fixation","7 relevant",1.03078332011959
6,"fixation","7 relevant",1.02210862627089
7,"fixation","7 relevant",1.01490282824358
8,"fixation","7 relevant",0.882303210086193
9,"fixation","7 relevant",0.788543214513578
10,"fixation","7 relevant",0.719532546698696
11,"fixation","7 relevant",0.666833305856913
12,"fixation","7 relevant",0.62428290439496
2,"level","7 relevant",0.860287839425172
3,"level","7 relevant",0.849410615541864
4,"level","7 relevant",0.845929769587436
5,"level","7 relevant",0.843349612238571
6,"level","7 relevant",0.839813698529084
7,"level","7 relevant",0.835894672529038
8,"level","7 relevant",0.762223725451644
9,"level","7 relevant",0.70856526619499
10,"level","7 relevant",0.668536920406975
11,"level","7 relevant",0.636593483779597
12,"level","7 relevant",0.611029488908514
2,"sample","7 relevant",1.46221099248145
3,"sample","7 relevant",1.43851892381361
4,"sample","7 relevant",1.4314718155732
5,"sample","7 relevant",1.42577564496173
6,"sample","7 relevant",1.4173670488162
7,"sample","7 relevant",1.4063508216415
8,"sample","7 relevant",1.14309223342257
9,"sample","7 relevant",0.963044804552062
10,"sample","7 relevant",0.83219733440519
11,"sample","7 relevant",0.734679827309516
12,"sample","7 relevant",0.659676237014505
