node_from,node_to,iteration,edge_type,value
V1,V1,iter1,sample,39.365
V2,V1,iter1,sample,26.09
V3,V1,iter1,sample,18.88
V4,V1,iter1,sample,50.69
V5,V1,iter1,sample,30.105
V6,V1,iter1,sample,48.6
V7,V1,iter1,sample,16.56
V8,V1,iter1,sample,22.78
V9,V1,iter1,sample,15.15
V10,V1,iter1,sample,22
T,V1,iter1,sample,0
V1,V2,iter1,sample,20.27
V2,V2,iter1,sample,30.2
V3,V2,iter1,sample,30.72
V4,V2,iter1,sample,71.855
V5,V2,iter1,sample,37.48
V6,V2,iter1,sample,59.81
V7,V2,iter1,sample,25.91
V8,V2,iter1,sample,19.835
V9,V2,iter1,sample,18.685
V10,V2,iter1,sample,25.69
T,V2,iter1,sample,0
V1,V3,iter1,sample,27.95
V2,V3,iter1,sample,36.945
V3,V3,iter1,sample,12.35
V4,V3,iter1,sample,19.26
V5,V3,iter1,sample,19.9
V6,V3,iter1,sample,25.53
V7,V3,iter1,sample,10.735
V8,V3,iter1,sample,22.595
V9,V3,iter1,sample,15.66
V10,V3,iter1,sample,19.36
T,V3,iter1,sample,0
V1,V4,iter1,sample,37.44
V2,V4,iter1,sample,59.735
V3,V4,iter1,sample,18.725
V4,V4,iter1,sample,30.09
V5,V4,iter1,sample,44.09
V6,V4,iter1,sample,56.955
V7,V4,iter1,sample,19.24
V8,V4,iter1,sample,21.41
V9,V4,iter1,sample,17.56
V10,V4,iter1,sample,34.165
T,V4,iter1,sample,0
V1,V5,iter1,sample,29.16
V2,V5,iter1,sample,39.335
V3,V5,iter1,sample,26.62
V4,V5,iter1,sample,43.655
V5,V5,iter1,sample,19.875
V6,V5,iter1,sample,18.785
V7,V5,iter1,sample,14.455
V8,V5,iter1,sample,20.055
V9,V5,iter1,sample,18.85
V10,V5,iter1,sample,20
T,V5,iter1,sample,0
V1,V6,iter1,sample,35.235
V2,V6,iter1,sample,60.085
V3,V6,iter1,sample,32.64
V4,V6,iter1,sample,72.175
V5,V6,iter1,sample,22.3
V6,V6,iter1,sample,20.375
V7,V6,iter1,sample,21.09
V8,V6,iter1,sample,21.74
V9,V6,iter1,sample,17.21
V10,V6,iter1,sample,21.365
T,V6,iter1,sample,0
V1,V7,iter1,sample,18.135
V2,V7,iter1,sample,33.225
V3,V7,iter1,sample,16.78
V4,V7,iter1,sample,37.29
V5,V7,iter1,sample,16.88
V6,V7,iter1,sample,23.54
V7,V7,iter1,sample,12.765
V8,V7,iter1,sample,16.925
V9,V7,iter1,sample,11.6
V10,V7,iter1,sample,16.345
T,V7,iter1,sample,0
V1,V8,iter1,sample,25.57
V2,V8,iter1,sample,33.305
V3,V8,iter1,sample,16.145
V4,V8,iter1,sample,35.145
V5,V8,iter1,sample,27.835
V6,V8,iter1,sample,42.955
V7,V8,iter1,sample,16.21
V8,V8,iter1,sample,21.67
V9,V8,iter1,sample,18.52
V10,V8,iter1,sample,20.01
T,V8,iter1,sample,0
V1,V9,iter1,sample,23.805
V2,V9,iter1,sample,27.22
V3,V9,iter1,sample,19.51
V4,V9,iter1,sample,33.095
V5,V9,iter1,sample,17.4
V6,V9,iter1,sample,29.92
V7,V9,iter1,sample,10.345
V8,V9,iter1,sample,17.355
V9,V9,iter1,sample,20.045
V10,V9,iter1,sample,18.92
T,V9,iter1,sample,0
V1,V10,iter1,sample,30.385
V2,V10,iter1,sample,41.92
V3,V10,iter1,sample,21.08
V4,V10,iter1,sample,35.695
V5,V10,iter1,sample,28.885
V6,V10,iter1,sample,39.31
V7,V10,iter1,sample,17.12
V8,V10,iter1,sample,17.825
V9,V10,iter1,sample,15.875
V10,V10,iter1,sample,20.76
T,V10,iter1,sample,0
V1,T,iter1,sample,48.905
V2,T,iter1,sample,48.3949999999999
V3,T,iter1,sample,44.835
V4,T,iter1,sample,52.4599999999999
V5,T,iter1,sample,46.0399999999999
V6,T,iter1,sample,46.4349999999999
V7,T,iter1,sample,47.055
V8,T,iter1,sample,57.1749999999999
V9,T,iter1,sample,50.46
V10,T,iter1,sample,58.24
T,T,iter1,sample,0
V1,V1,iter2,sample,22.94
